ID,TopBorder,BottomBorder,LeftBorder,RightBorder,LabelRows,LabelCols,MarginRow,MarginCol
L7651,10.9,10.9,4.7,4.7,13,5,0,2.5
J8160,15.15,15.15,7.2,7.2,7,3,0,2.5
L7163,15.15,15.15,4.7,4.7,7,2,0,2.5
